2024-03-09 13:31:54.565 	-0.04	0.00	9.17	20.71	16.93	-39.51
2024-03-09 13:31:54.870 	-0.06	0.00	9.04	21.58	15.92	-45.48
2024-03-09 13:31:54.958 	-0.06	0.00	9.08	20.66	16.96	-37.42
2024-03-09 13:31:55.177 	-0.06	0.00	9.20	20.81	17.34	-36.81
2024-03-09 13:31:55.487 	-0.06	0.00	9.16	20.94	17.53	-37.17
2024-03-09 13:31:55.795 	-0.06	0.00	9.11	21.23	18.04	-37.67
2024-03-09 13:31:56.100 	-0.06	0.00	9.23	21.49	18.47	-38.17
2024-03-09 13:31:56.407 	-0.06	0.00	9.11	21.71	18.81	-38.68
2024-03-09 13:31:56.714 	-0.06	0.00	9.03	21.70	18.81	-39.04
2024-03-09 13:31:56.760 	-0.06	0.02	8.78	21.93	18.91	-43.08
2024-03-09 13:31:57.022 	-0.06	0.02	9.33	21.81	18.91	-43.89
2024-03-09 13:31:57.330 	-0.06	0.02	9.11	22.47	19.55	-43.53
2024-03-09 13:31:57.636 	-0.06	0.02	9.17	22.73	20.12	-44.05
2024-03-09 13:31:57.945 	-0.06	0.02	9.11	22.95	20.50	-44.54
2024-03-09 13:31:58.251 	-0.06	0.02	9.22	23.21	21.06	-44.61
2024-03-09 13:31:58.557 	-0.04	0.02	8.21	24.80	21.45	-53.58
2024-03-09 13:31:58.863 	-0.04	0.02	9.13	24.93	21.68	-53.43
2024-03-09 13:31:59.170 	-0.04	0.02	9.03	25.22	22.09	-53.95
2024-03-09 13:31:59.479 	-0.04	0.02	9.12	25.39	22.35	-54.30
2024-03-09 13:31:59.552 	-0.04	0.02	9.17	25.61	22.69	-54.82
2024-03-09 13:31:59.785 	-0.04	0.02	9.22	25.64	22.78	-54.99
2024-03-09 13:32:00.096 	-0.04	0.02	9.07	25.84	23.05	-55.33
2024-03-09 13:32:00.401 	-0.04	0.00	8.87	25.62	23.69	-51.03
2024-03-09 13:32:00.707 	-0.04	0.00	9.03	26.05	24.15	-52.65
2024-03-09 13:32:01.015 	-0.04	0.00	9.06	26.26	24.49	-53.18
2024-03-09 13:32:01.328 	-0.04	0.00	9.07	26.47	24.88	-53.69
2024-03-09 13:32:01.630 	-0.06	0.00	9.00	27.16	24.33	-58.92
2024-03-09 13:32:01.933 	-0.06	0.00	9.74	27.48	24.05	-61.46
2024-03-09 13:32:02.255 	-0.06	0.00	9.12	27.06	25.46	-55.93
2024-03-09 13:32:02.557 	-0.06	0.00	9.00	27.30	25.90	-56.18
2024-03-09 13:32:02.858 	-0.06	0.00	9.03	27.52	26.27	-56.69
2024-03-09 13:32:03.167 	-0.06	0.00	9.04	27.41	26.60	-56.13
2024-03-09 13:32:03.264 	-0.06	0.02	9.53	26.90	26.71	-54.20
2024-03-09 13:32:03.480 	-0.08	0.02	9.05	26.47	26.88	-53.57
2024-03-09 13:32:03.782 	-0.08	0.02	9.18	27.12	27.38	-52.34
2024-03-09 13:32:04.088 	-0.08	0.02	9.13	27.48	28.00	-52.85
2024-03-09 13:32:04.395 	-0.08	0.02	9.13	27.66	28.30	-53.18
2024-03-09 13:32:04.457 	-0.08	0.02	9.26	27.86	28.63	-53.69
2024-03-09 13:32:04.700 	-0.08	0.02	9.18	27.89	28.76	-53.77
2024-03-09 13:32:05.009 	-0.06	0.02	8.89	27.32	29.21	-48.59
2024-03-09 13:32:05.316 	-0.06	0.02	9.08	29.46	28.70	-63.70
2024-03-09 13:32:05.622 	-0.06	0.02	9.16	29.81	29.19	-64.21
2024-03-09 13:32:05.977 	-0.06	0.02	9.06	30.08	29.60	-64.73
2024-03-09 13:32:06.243 	-0.06	0.02	9.13	30.30	29.91	-65.25
2024-03-09 13:32:06.545 	-0.06	0.02	9.01	30.66	30.32	-65.73
2024-03-09 13:32:06.852 	-0.06	0.02	9.75	30.34	30.50	-62.21
2024-03-09 13:32:07.160 	-0.06	0.04	9.20	29.95	31.45	-57.46
2024-03-09 13:32:07.466 	-0.06	0.04	9.16	30.28	31.89	-58.23
2024-03-09 13:32:07.776 	-0.06	0.04	9.10	30.53	32.32	-58.75
2024-03-09 13:32:08.083 	-0.06	0.04	9.12	30.76	32.68	-59.27
2024-03-09 13:32:08.399 	-0.06	0.04	9.06	31.00	33.05	-59.78
2024-03-09 13:32:08.693 	-0.06	0.04	9.11	31.23	33.37	-60.30
2024-03-09 13:32:09.003 	-0.06	0.04	9.03	31.47	33.72	-60.80
2024-03-09 13:32:09.307 	-0.06	0.04	9.10	31.70	34.08	-61.32
2024-03-09 13:32:09.351 	-0.06	0.04	9.03	32.40	33.41	-66.27
2024-03-09 13:32:09.616 	-0.08	0.04	9.24	32.96	33.01	-69.27
2024-03-09 13:32:09.926 	-0.08	0.04	9.08	31.76	33.54	-60.44
2024-03-09 13:32:10.234 	-0.08	0.04	9.08	32.32	34.53	-61.94
2024-03-09 13:32:10.287 	-0.08	0.04	9.07	32.59	35.02	-62.44
2024-03-09 13:32:10.535 	-0.08	0.04	9.11	32.67	35.16	-62.61
2024-03-09 13:32:10.847 	-0.08	0.04	8.99	32.78	35.44	-62.96
2024-03-09 13:32:11.154 	-0.08	0.04	9.01	32.82	35.45	-63.48
2024-03-09 13:32:11.459 	-0.08	0.06	9.36	32.42	35.68	-63.03
2024-03-09 13:32:11.769 	-0.08	0.06	9.15	33.03	36.62	-62.60
